gateway_id,device_id,device_name,device_type,site,building,floor,installation_area,target_area,panel,point_type,point_specification,point_id,point_name,writable,interval,unit,max_pres_value,min_pres_value,labels,scale,tags,supplier,owner,description,local_id,device_id_bacnet,instance_no_bacnet,object_type_bacnet
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0014,Point 14,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 14,LOCAL0014,BAC-L,1014,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0015,Point 15,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 15,LOCAL0015,BAC-L,1015,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0016,Point 16,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 16,LOCAL0016,BAC-L,1016,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0017,Point 17,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 17,LOCAL0017,BAC-L,1017,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0018,Point 18,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 18,LOCAL0018,BAC-L,1018,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0019,Point 19,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 19,LOCAL0019,BAC-L,1019,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0020,Point 20,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 20,LOCAL0020,BAC-L,1020,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0021,Point 21,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 21,LOCAL0021,BAC-L,1021,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0022,Point 22,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 22,LOCAL0022,BAC-L,1022,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0023,Point 23,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 23,LOCAL0023,BAC-L,1023,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0024,Point 24,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 24,LOCAL0024,BAC-L,1024,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0025,Point 25,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 25,LOCAL0025,BAC-L,1025,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0026,Point 26,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 26,LOCAL0026,BAC-L,1026,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0027,Point 27,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 27,LOCAL0027,BAC-L,1027,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0028,Point 28,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 28,LOCAL0028,BAC-L,1028,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0029,Point 29,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 29,LOCAL0029,BAC-L,1029,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0030,Point 30,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 30,LOCAL0030,BAC-L,1030,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0031,Point 31,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 31,LOCAL0031,BAC-L,1031,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0032,Point 32,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 32,LOCAL0032,BAC-L,1032,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0033,Point 33,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 33,LOCAL0033,BAC-L,1033,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0034,Point 34,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 34,LOCAL0034,BAC-L,1034,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0035,Point 35,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 35,LOCAL0035,BAC-L,1035,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0036,Point 36,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 36,LOCAL0036,BAC-L,1036,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0037,Point 37,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 37,LOCAL0037,BAC-L,1037,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0038,Point 38,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 38,LOCAL0038,BAC-L,1038,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0039,Point 39,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 39,LOCAL0039,BAC-L,1039,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0040,Point 40,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 40,LOCAL0040,BAC-L,1040,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0041,Point 41,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 41,LOCAL0041,BAC-L,1041,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0042,Point 42,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 42,LOCAL0042,BAC-L,1042,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0043,Point 43,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 43,LOCAL0043,BAC-L,1043,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0044,Point 44,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 44,LOCAL0044,BAC-L,1044,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0045,Point 45,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 45,LOCAL0045,BAC-L,1045,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0046,Point 46,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 46,LOCAL0046,BAC-L,1046,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0047,Point 47,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 47,LOCAL0047,BAC-L,1047,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0048,Point 48,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 48,LOCAL0048,BAC-L,1048,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0049,Point 49,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 49,LOCAL0049,BAC-L,1049,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0050,Point 50,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 50,LOCAL0050,BAC-L,1050,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0051,Point 51,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 51,LOCAL0051,BAC-L,1051,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0052,Point 52,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 52,LOCAL0052,BAC-L,1052,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0053,Point 53,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 53,LOCAL0053,BAC-L,1053,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0054,Point 54,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 54,LOCAL0054,BAC-L,1054,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0055,Point 55,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 55,LOCAL0055,BAC-L,1055,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0056,Point 56,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 56,LOCAL0056,BAC-L,1056,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0057,Point 57,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 57,LOCAL0057,BAC-L,1057,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0058,Point 58,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 58,LOCAL0058,BAC-L,1058,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0059,Point 59,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 59,LOCAL0059,BAC-L,1059,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0060,Point 60,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 60,LOCAL0060,BAC-L,1060,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0061,Point 61,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 61,LOCAL0061,BAC-L,1061,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0062,Point 62,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 62,LOCAL0062,BAC-L,1062,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0063,Point 63,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 63,LOCAL0063,BAC-L,1063,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0064,Point 64,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 64,LOCAL0064,BAC-L,1064,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0065,Point 65,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 65,LOCAL0065,BAC-L,1065,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0066,Point 66,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 66,LOCAL0066,BAC-L,1066,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0067,Point 67,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 67,LOCAL0067,BAC-L,1067,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0068,Point 68,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 68,LOCAL0068,BAC-L,1068,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0069,Point 69,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 69,LOCAL0069,BAC-L,1069,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0070,Point 70,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 70,LOCAL0070,BAC-L,1070,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0071,Point 71,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 71,LOCAL0071,BAC-L,1071,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0072,Point 72,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 72,LOCAL0072,BAC-L,1072,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0073,Point 73,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 73,LOCAL0073,BAC-L,1073,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0074,Point 74,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 74,LOCAL0074,BAC-L,1074,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0075,Point 75,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 75,LOCAL0075,BAC-L,1075,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0076,Point 76,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 76,LOCAL0076,BAC-L,1076,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0077,Point 77,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 77,LOCAL0077,BAC-L,1077,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0078,Point 78,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 78,LOCAL0078,BAC-L,1078,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0079,Point 79,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 79,LOCAL0079,BAC-L,1079,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0080,Point 80,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 80,LOCAL0080,BAC-L,1080,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0081,Point 81,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 81,LOCAL0081,BAC-L,1081,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0082,Point 82,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 82,LOCAL0082,BAC-L,1082,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0083,Point 83,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 83,LOCAL0083,BAC-L,1083,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0084,Point 84,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 84,LOCAL0084,BAC-L,1084,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0085,Point 85,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 85,LOCAL0085,BAC-L,1085,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0086,Point 86,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 86,LOCAL0086,BAC-L,1086,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0087,Point 87,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 87,LOCAL0087,BAC-L,1087,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0088,Point 88,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 88,LOCAL0088,BAC-L,1088,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0089,Point 89,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 89,LOCAL0089,BAC-L,1089,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0090,Point 90,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 90,LOCAL0090,BAC-L,1090,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0091,Point 91,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 91,LOCAL0091,BAC-L,1091,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0092,Point 92,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 92,LOCAL0092,BAC-L,1092,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0093,Point 93,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 93,LOCAL0093,BAC-L,1093,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0094,Point 94,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 94,LOCAL0094,BAC-L,1094,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0095,Point 95,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 95,LOCAL0095,BAC-L,1095,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0096,Point 96,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 96,LOCAL0096,BAC-L,1096,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0097,Point 97,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 97,LOCAL0097,BAC-L,1097,Analog-Input
GW-L,DEV-L,Large Sensor,Sensor,LargeSite,LargeBldg,1F,RoomL,RoomL,,Temperature,Measurement,PT0098,Point 98,false,60,C,50,-10,,1.0,temperature&&rooml,VendorL,OwnerL,Large fixture point 98,LOCAL0098,BAC-L,1098,Analog-Input
